hospital,servico,disponivel,observacao,atualizado_em,fonte
Hospital São Raimundo,Anestesiologia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital São Raimundo,Cirurgia Geral,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital São Raimundo,Clínica Médica,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital São Raimundo,Obstetrícia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital São Raimundo,Pediatria,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital São Raimundo,Traumato Ortopedia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital São Vicente,Saúde Mental,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital São Vicente de Paulo,Anestesiologia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital São Vicente de Paulo,Anestesiologia 2,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital São Vicente de Paulo,Cirurgia Geral,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital São Vicente de Paulo,Clínica Médica,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital São Vicente de Paulo,Neonatal,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
